id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
40001011009	40001011	hermanos	y			
40001011010	40001011	,		y		
40001011011	40001011	en				
40001011012	40001011	la				
40001011013	40001011	transmigración				
40001011014	40001011	de				
40001011015	40001011	Babilonia	y			
40001011016	40001011	.		y		
40001012001	40001012	Y				
40001012002	40001012	después				
40001012003	40001012	de				
40001012004	40001012	la				
40001012005	40001012	transmigración				
40001012006	40001012	de				
40001012007	40001012	Babilonia	y			
40001012008	40001012	,		y		
40001012009	40001012	Jechônías				
40001012010	40001012	engendró				
40001012011	40001012	á				
40001012012	40001012	Salathiel	y			
40001012013	40001012	:		y		
40001012014	40001012	y				
40001012015	40001012	Salathiel				
40001012016	40001012	engendró				
40001012017	40001012	á				
40001012018	40001012	Zorobabel	y			
40001012019	40001012	:		y		
40001013001	40001013	Y				
40001013002	40001013	Zorobabel				
40001013003	40001013	engendró				
40001013004	40001013	á				
40001013005	40001013	Abiud	y			
40001013006	40001013	:		y		
40001013007	40001013	y				
40001013008	40001013	Abiud				
40001013009	40001013	engendró				
40001013010	40001013	á				
40001013011	40001013	Eliachîm	y			
40001013012	40001013	:		y		
40001013013	40001013	y				
40001013014	40001013	Eliachîm				
40001013015	40001013	engendró				
40001013016	40001013	á				
40001013017	40001013	Azor	y			
40001013018	40001013	:		y		
40001014001	40001014	Y				
40001014002	40001014	Azor				
40001014003	40001014	engendró				
40001014004	40001014	á				
40001014005	40001014	Sadoc	y			
40001014006	40001014	:		y		
40001014007	40001014	y				
40001014008	40001014	Sadoc				
40001014009	40001014	engendró				
40001014010	40001014	á				
40001014011	40001014	Achîm	y			
40001014012	40001014	:		y		
40001014013	40001014	y				
40001014014	40001014	Achîm				
40001014015	40001014	engendró				
40001014016	40001014	á				
40001014017	40001014	Eliud	y			
40001014018	40001014	:		y		
40001015001	40001015	Y				
40001015002	40001015	Eliud				
40001015003	40001015	engendró				
40001015004	40001015	á				
40001015005	40001015	Eleazar	y			
40001015006	40001015	:		y		
40001015007	40001015	y				
40001015008	40001015	Eleazar				
40001015009	40001015	engendró				
40001015010	40001015	á				
40001015011	40001015	Mathán	y			
40001015012	40001015	:		y		
40001015013	40001015	y				
40001015014	40001015	Mathán				
40001015015	40001015	engendró				
40001015016	40001015	á				
40001015017	40001015	Jacob	y			
40001015018	40001015	:		y		
40001016001	40001016	Y				
40001016002	40001016	Jacob				
40001016003	40001016	engendró				
40001016004	40001016	á				
40001016005	40001016	José	y			
40001016006	40001016	,		y		
40001016007	40001016	marido				
40001016008	40001016	de				
40001016009	40001016	María	y			
40001016010	40001016	,		y		
40001016011	40001016	de				
40001016012	40001016	la				
40001016013	40001016	cual				
40001016014	40001016	nació				
40001016015	40001016	Jesús	y			
40001016016	40001016	,		y		
40001016017	40001016	el				
40001016018	40001016	cual				
40001016019	40001016	es				
40001016020	40001016	llamado				
40001016021	40001016	el				
40001016022	40001016	Cristo	y			
40001016023	40001016	.		y		
40001017001	40001017	De				
40001017002	40001017	manera				
40001017003	40001017	que				
40001017004	40001017	todas				
40001017005	40001017	las				
40001017006	40001017	generaciones				
40001017007	40001017	desde				
40001017008	40001017	Abraham				
40001017009	40001017	hasta				
40001017010	40001017	David				
40001017011	40001017	son				
40001017012	40001017	catorce				
40001017013	40001017	generaciones	y			
40001017014	40001017	:		y		
40001017015	40001017	y				
40001017016	40001017	desde				
40001017017	40001017	David				
40001017018	40001017	hasta				
40001017019	40001017	la				
40001017020	40001017	transmigración				
40001017021	40001017	de				
40001017022	40001017	Babilonia	y			
40001017023	40001017	,		y		
40001017024	40001017	catorce				
40001017025	40001017	generaciones	y			
40001017026	40001017	:		y		
40001017027	40001017	y				
40001017028	40001017	desde				
40001017029	40001017	la				
40001017030	40001017	transmigración				
40001017031	40001017	de				
40001017032	40001017	Babilonia				
40001017033	40001017	hasta				
40001017034	40001017	Cristo	y			
40001017035	40001017	,		y		
40001017036	40001017	catorce				
40001017037	40001017	generaciones	y			
40001017038	40001017	.		y		
40001018001	40001018	Y				
40001018002	40001018	el				
40001018003	40001018	nacimiento				
40001018004	40001018	de				
40001018005	40001018	Jesucristo				
40001018006	40001018	fué				
40001018007	40001018	así	y			
40001018008	40001018	:		y		
40001018009	40001018	Que				
40001018010	40001018	siendo				
40001018011	40001018	María				
40001018012	40001018	su				
40001018013	40001018	madre				
40001018014	40001018	desposada				
40001018015	40001018	con				
40001018016	40001018	José	y			
40001018017	40001018	,		y		
40001018018	40001018	antes				
40001018019	40001018	que				
40001018020	40001018	se				
40001018021	40001018	juntasen	y			
40001018022	40001018	,		y		
40001018023	40001018	se				
40001018024	40001018	halló				
40001018025	40001018	haber				
40001018026	40001018	concebido				
40001018027	40001018	del				
40001018028	40001018	Espíritu				
40001018029	40001018	Santo	y			
40001018030	40001018	.		y		
40001019001	40001019	Y				
40001019002	40001019	José				
40001019003	40001019	su				
40001019004	40001019	marido	y			
40001019005	40001019	,		y		
40001019006	40001019	como				
40001019007	40001019	era				
40001019008	40001019	justo	y			
40001019009	40001019	,		y		
40001019010	40001019	y				
40001019011	40001019	no				
