identifier	altId	text	transType	isPunc	isPrimary
01001010006	وَمُجْتَمَعَ-1	وَمُجْتَمَعَ		False	True
01001010007	ٱلْمِيَاهِ-1	ٱلْمِيَاهِ		False	True
01001010008	دَعَاهُ-1	دَعَاهُ		False	True
01001010009	بِحَارًا-1	بِحَارًا		False	True
01001010011	وَرَأَى-1	وَرَأَى		False	True
01001010012	ٱللهُ-2	ٱللهُ		False	True
01001010013	ذَلِكَ-1	ذَلِكَ		False	True
01001010014	أَنَّهُ-1	أَنَّهُ		False	True
01001010015	حَسَنٌ-1	حَسَنٌ		False	True
01001011001	وَقَالَ-1	وَقَالَ		False	True
01001011002	ٱللهُ-1	ٱللهُ		False	True
01001011005	لِتُنْبِتِ-1	لِتُنْبِتِ		False	True
01001011006	ٱلْأَرْضُ-1	ٱلْأَرْضُ		False	True
01001011007	عُشْبًا-1	عُشْبًا		False	True
01001011008	وَبَقْلًا-1	وَبَقْلًا		False	True
01001011009	يُبْزِرُ-1	يُبْزِرُ		False	True
01001011010	بِزْرًا-1	بِزْرًا		False	True
01001011012	وَشَجَرًا-1	وَشَجَرًا		False	True
01001011013	ذَا-1	ذَا		False	True
01001011014	ثَمَرٍ-1	ثَمَرٍ		False	True
01001011015	يَعْمَلُ-1	يَعْمَلُ		False	True
01001011016	ثَمَرًا-1	ثَمَرًا		False	True
01001011017	كَجِنْسِهِ-1	كَجِنْسِهِ		False	True
01001011019	بِزْرُهُ-1	بِزْرُهُ		False	True
01001011020	فِيهِ-1	فِيهِ		False	True
01001011021	عَلَى-1	عَلَى		False	True
01001011022	ٱلْأَرْضِ-1	ٱلْأَرْضِ		False	True
01001011025	وَكَانَ-1	وَكَانَ		False	True
01001011026	كَذَلِكَ-1	كَذَلِكَ		False	True
01001012001	فَأَخْرَجَتِ-1	فَأَخْرَجَتِ		False	True
01001012002	ٱلْأَرْضُ-1	ٱلْأَرْضُ		False	True
01001012003	عُشْبًا-1	عُشْبًا		False	True
01001012004	وَبَقْلًا-1	وَبَقْلًا		False	True
01001012005	يُبْزِرُ-1	يُبْزِرُ		False	True
01001012006	بِزْرًا-1	بِزْرًا		False	True
01001012007	كَجِنْسِهِ-1	كَجِنْسِهِ		False	True
01001012009	وَشَجَرًا-1	وَشَجَرًا		False	True
01001012010	يَعْمَلُ-1	يَعْمَلُ		False	True
01001012011	ثَمَرًا-1	ثَمَرًا		False	True
01001012012	بِزْرُهُ-1	بِزْرُهُ		False	True
01001012013	فِيهِ-1	فِيهِ		False	True
01001012014	كَجِنْسِهِ-2	كَجِنْسِهِ		False	True
01001012016	وَرَأَى-1	وَرَأَى		False	True
01001012017	ٱللهُ-1	ٱللهُ		False	True
01001012018	ذَلِكَ-1	ذَلِكَ		False	True
01001012019	أَنَّهُ-1	أَنَّهُ		False	True
01001012020	حَسَنٌ-1	حَسَنٌ		False	True
01001013001	وَكَانَ-1	وَكَانَ		False	True
01001013002	مَسَاءٌ-1	مَسَاءٌ		False	True
01001013003	وَكَانَ-2	وَكَانَ		False	True
01001013004	صَبَاحٌ-1	صَبَاحٌ		False	True
01001013005	يَوْمًا-1	يَوْمًا		False	True
01001013006	ثَالِثًا-1	ثَالِثًا		False	True
01001014001	وَقَالَ-1	وَقَالَ		False	True
01001014002	ٱللهُ-1	ٱللهُ		False	True
01001014005	لِتَكُنْ-1	لِتَكُنْ		False	True
01001014006	أَنْوَارٌ-1	أَنْوَارٌ		False	True
01001014007	فِي-1	فِي		False	True
01001014008	جَلَدِ-1	جَلَدِ		False	True
01001014009	ٱلسَّمَاءِ-1	ٱلسَّمَاءِ		False	True
01001014010	لِتَفْصِلَ-1	لِتَفْصِلَ		False	True
01001014011	بَيْنَ-1	بَيْنَ		False	True
01001014012	ٱلنَّهَارِ-1	ٱلنَّهَارِ		False	True
01001014013	وَٱللَّيْلِ-1	وَٱللَّيْلِ		False	True
01001014015	وَتَكُونَ-1	وَتَكُونَ		False	True
