id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
40001001001	40001001	Inilah				
40001001002	40001001	silsilah				
40001001003	40001001	Yesus				
40001001004	40001001	Kristus	y			
40001001005	40001001	,		y		
40001001006	40001001	anak				
40001001007	40001001	Daud	y			
40001001008	40001001	,		y		
40001001009	40001001	anak				
40001001010	40001001	Abraham	y			
40001001011	40001001	.		y		
40001002001	40001002	Abraham				
40001002002	40001002	memperanakkan				
40001002003	40001002	Ishak	y			
40001002004	40001002	,		y		
40001002005	40001002	Ishak				
40001002006	40001002	memperanakkan				
40001002007	40001002	Yakub	y			
40001002008	40001002	,		y		
40001002009	40001002	Yakub				
40001002010	40001002	memperanakkan				
40001002011	40001002	Yehuda				
40001002012	40001002	dan				
40001002013	40001002	saudara-saudaranya	y			
40001002014	40001002	,		y		
40001003001	40001003	Yehuda				
40001003002	40001003	memperanakkan				
40001003003	40001003	Peres				
40001003004	40001003	dan				
40001003005	40001003	Zerah				
40001003006	40001003	dari				
40001003007	40001003	Tamar	y			
40001003008	40001003	,		y		
40001003009	40001003	Peres				
40001003010	40001003	memperanakkan				
40001003011	40001003	Hezron	y			
40001003012	40001003	,		y		
40001003013	40001003	Hezron				
40001003014	40001003	memperanakkan				
40001003015	40001003	Ram	y			
40001003016	40001003	,		y		
40001004001	40001004	Ram				
40001004002	40001004	memperanakkan				
40001004003	40001004	Aminadab	y			
40001004004	40001004	,		y		
40001004005	40001004	Aminadab				
40001004006	40001004	memperanakkan				
40001004007	40001004	Nahason	y			
40001004008	40001004	,		y		
40001004009	40001004	Nahason				
40001004010	40001004	memperanakkan				
40001004011	40001004	Salmon	y			
40001004012	40001004	,		y		
40001005001	40001005	Salmon				
40001005002	40001005	memperanakkan				
40001005003	40001005	Boas				
40001005004	40001005	dari				
40001005005	40001005	Rahab	y			
40001005006	40001005	,		y		
40001005007	40001005	Boas				
40001005008	40001005	memperanakkan				
40001005009	40001005	Obed				
40001005010	40001005	dari				
40001005011	40001005	Rut	y			
40001005012	40001005	,		y		
40001005013	40001005	Obed				
40001005014	40001005	memperanakkan				
40001005015	40001005	Isai	y			
40001005016	40001005	,		y		
40001006001	40001006	Isai				
40001006002	40001006	memperanakkan				
40001006003	40001006	raja				
40001006004	40001006	Daud	y			
